Gene_name	nSites	nLocations	Tot	cdsAlt	utr5Altx	utr3Altx
CNAG_00392	1	1	629	FALSE	FALSE	FALSE
CNAG_00393	2	2	795	TRUE	FALSE	FALSE
CNAG_00394	2	2	859	TRUE	FALSE	FALSE
CNAG_00395	2	2	1079	TRUE	FALSE	FALSE
CNAG_00396	2	1	1876	FALSE	TRUE	FALSE
CNAG_00397	3	2	226	TRUE	FALSE	FALSE
CNAG_00398	2	2	1556	TRUE	FALSE	FALSE
CNAG_00399	3	2	865	TRUE	TRUE	FALSE
CNAG_00400	1	1	13891	FALSE	FALSE	FALSE
CNAG_00401	5	2	82	TRUE	FALSE	FALSE
CNAG_00402	6	2	1579	TRUE	FALSE	FALSE
CNAG_00403	4	2	993	TRUE	FALSE	FALSE
CNAG_00404	6	2	178	TRUE	FALSE	FALSE
CNAG_00405	2	2	1842	TRUE	FALSE	FALSE
CNAG_00406	1	1	180	FALSE	FALSE	FALSE
CNAG_00407	1	1	79696	FALSE	FALSE	FALSE
CNAG_00408	3	3	1111	TRUE	FALSE	FALSE
CNAG_00409	1	1	42177	FALSE	FALSE	FALSE
CNAG_00410	1	1	5160	FALSE	FALSE	FALSE
CNAG_00411	1	1	1290	FALSE	FALSE	FALSE
CNAG_00412	2	1	154	TRUE	FALSE	FALSE
CNAG_00413	1	1	1927	FALSE	FALSE	FALSE
CNAG_00414	1	1	400	FALSE	FALSE	FALSE
CNAG_00415	1	1	3072	FALSE	FALSE	FALSE
CNAG_00416	4	3	94	TRUE	FALSE	FALSE
CNAG_00417	2	2	8513	TRUE	FALSE	FALSE
CNAG_00418	1	1	3819	FALSE	FALSE	FALSE
CNAG_00419	6	3	159	TRUE	FALSE	FALSE
CNAG_00420	1	1	2909	FALSE	FALSE	FALSE
CNAG_00421	2	2	35590	TRUE	FALSE	FALSE
CNAG_00422	3	1	694	TRUE	FALSE	FALSE
CNAG_00423	1	1	1586	FALSE	FALSE	FALSE
CNAG_00424	1	1	11377	FALSE	FALSE	FALSE
CNAG_00425	1	1	486	TRUE	FALSE	FALSE
CNAG_00426	3	1	1040	TRUE	FALSE	FALSE
CNAG_00427	2	2	1690	TRUE	FALSE	FALSE
CNAG_00428	1	1	493	FALSE	FALSE	FALSE
CNAG_00429	3	2	578	TRUE	FALSE	FALSE
CNAG_00430	2	2	487	TRUE	FALSE	FALSE
CNAG_00433	3	2	286	TRUE	TRUE	FALSE
CNAG_00434	2	2	742	TRUE	FALSE	FALSE
CNAG_00435	4	3	396	TRUE	TRUE	FALSE
CNAG_00436	2	2	11962	TRUE	FALSE	FALSE
CNAG_00437	2	2	232	TRUE	FALSE	FALSE
CNAG_00438	2	2	477	TRUE	FALSE	FALSE
CNAG_00439	3	2	780	TRUE	FALSE	FALSE
CNAG_00440	2	2	204	TRUE	FALSE	FALSE
CNAG_00441	1	1	5362	FALSE	FALSE	FALSE
CNAG_00442	5	2	735	TRUE	TRUE	FALSE
CNAG_00443	3	2	23	TRUE	TRUE	FALSE
CNAG_00444	2	2	917	FALSE	TRUE	FALSE
CNAG_00445	3	2	2781	TRUE	FALSE	FALSE
CNAG_00446	1	1	3	TRUE	FALSE	FALSE
CNAG_00447	1	1	1292	FALSE	FALSE	FALSE
CNAG_00448	1	1	939	FALSE	FALSE	FALSE
CNAG_00449	3	2	1770	TRUE	FALSE	FALSE
CNAG_00450	2	2	514	TRUE	FALSE	FALSE
CNAG_00451	4	2	110	TRUE	FALSE	FALSE
CNAG_00452	2	2	7	TRUE	FALSE	FALSE
CNAG_00453	1	1	47811	FALSE	FALSE	FALSE
CNAG_00454	2	2	556	TRUE	FALSE	FALSE
CNAG_00455	4	2	337	TRUE	FALSE	FALSE
CNAG_00456	2	2	1250	TRUE	FALSE	FALSE
CNAG_00457	2	1	17646	FALSE	TRUE	FALSE
CNAG_00458	1	1	1098	FALSE	FALSE	FALSE
CNAG_00460	2	2	473	TRUE	FALSE	FALSE
CNAG_00461	2	2	1858	TRUE	FALSE	FALSE
CNAG_00462	1	1	2687	FALSE	FALSE	FALSE
CNAG_00464	3	2	580	TRUE	FALSE	FALSE
CNAG_00465	1	1	27468	FALSE	FALSE	FALSE
CNAG_00466	2	2	732	TRUE	FALSE	FALSE
CNAG_00467	2	2	602	TRUE	FALSE	FALSE
CNAG_00468	3	2	696	TRUE	FALSE	FALSE
CNAG_00469	5	2	363	TRUE	FALSE	FALSE
CNAG_00470	1	1	2384	FALSE	FALSE	FALSE
CNAG_00471	1	1	5417	FALSE	FALSE	FALSE
CNAG_00472	2	2	78	TRUE	FALSE	FALSE
CNAG_00473	1	1	4126	FALSE	FALSE	FALSE
CNAG_00474	1	1	875	FALSE	FALSE	FALSE
CNAG_00475	4	1	435	FALSE	TRUE	FALSE
CNAG_00480	4	2	5290	TRUE	TRUE	FALSE
CNAG_00482	1	1	4413	FALSE	FALSE	FALSE
CNAG_00483	1	1	15576	FALSE	FALSE	FALSE
CNAG_00484	5	1	928	TRUE	FALSE	FALSE
CNAG_00485	1	1	14418	FALSE	FALSE	FALSE
CNAG_00486	1	1	3428	FALSE	FALSE	FALSE
CNAG_00487	3	1	12	TRUE	FALSE	FALSE
